"infinitive","stem","tense","person","pronoun","final_form"
"ịga","ga","future","1s","m","m ga ga"
"ịga","ga","future","2p","unu","unu ga ga"
"ịga","ga","future","2s","ị","ị ga ga"
"ịga","ga","future","3p","ha","ha ga ga"
"ịga","ga","future","3s","ọ","ọ ga ga"
"ịga","ga","past","1p","anyị","gara"
"ịga","ga","past","1s","m","gara"
"ịga","ga","past","2p","unu","gara"
"ịga","ga","past","2s","ị","gara"
"ịga","ga","past","3p","ha","gara"
"ịga","ga","past","3s","ọ","gara"
"ịga","ga","past_perf","1p","anyị","gabugo"
"ịga","ga","past_perf","1s","m","gabugo"
"ịga","ga","past_perf","2p","unu","gabugo"
"ịga","ga","past_perf","2s","ị","gabugo"
"ịga","ga","past_perf","3p","ha","gabugo"
"ịga","ga","past_perf","3s","ọ","gabugo"
"ịga","ga","pres_cont","1p","anyị","anyị na ga"
"ịga","ga","pres_cont","1s","m","m na ga"
"ịga","ga","pres_cont","2p","unu","unu na ga"
"ịga","ga","pres_cont","2s","ị","ị na ga"
"ịga","ga","pres_cont","3p","ha","ha na ga"
"ịga","ga","pres_cont","3s","ọ","ọ na ga"
"ịga","ga","pres_perf","1p","anyị","gago"
"ịga","ga","pres_perf","1s","m","gago"
"ịga","ga","pres_perf","2p","unu","gago"
"ịga","ga","pres_perf","2s","ị","gago"
"ịga","ga","pres_perf","3p","ha","gago"
"ịga","ga","pres_perf","3s","ọ","gago"
"ịga","ga","present","1p","anyị","anyị ga"
"ịga","ga","present","1s","m","m ga"
"ịga","ga","present","2p","unu","unu ga"
"ịga","ga","present","2s","ị","ị ga"
"ịga","ga","present","3p","ha","ha ga"
"ịga","ga","present","3s","ọ","ọ ga"
"ịkpọ","kpọ","future","1p","anyị","anyị ga kpọ"
"ịkpọ","kpọ","future","1s","m","m ga kpọ"
"ịkpọ","kpọ","future","2p","unu","unu ga kpọ"
"ịkpọ","kpọ","future","2s","ị","ị ga kpọ"
"ịkpọ","kpọ","future","3p","ha","ha ga kpọ"
"ịkpọ","kpọ","future","3s","ọ","ọ ga kpọ"
"ịkpọ","kpọ","past","1p","anyị","kpọrọ"
"ịkpọ","kpọ","past","1s","m","kpọrọ"
"ịkpọ","kpọ","past","2p","unu","kpọrọ"
"ịkpọ","kpọ","past","2s","ị","kpọrọ"
"ịkpọ","kpọ","past","3p","ha","kpọrọ"
"ịkpọ","kpọ","past","3s","ọ","kpọrọ"
"ịkpọ","kpọ","past_perf","1p","anyị","kpọbugo"
"ịkpọ","kpọ","past_perf","1s","m","kpọbugo"
"ịkpọ","kpọ","past_perf","2p","unu","kpọbugo"
"ịkpọ","kpọ","past_perf","2s","ị","kpọbugo"
"ịkpọ","kpọ","past_perf","3p","ha","kpọbugo"
"ịkpọ","kpọ","past_perf","3s","ọ","kpọbugo"
"ịkpọ","kpọ","pres_cont","1p","anyị","anyị na kpọ"
"ịkpọ","kpọ","pres_cont","1s","m","m na kpọ"
"ịkpọ","kpọ","pres_cont","2p","unu","unu na kpọ"
"ịkpọ","kpọ","pres_cont","2s","ị","ị na kpọ"
"ịkpọ","kpọ","pres_cont","3p","ha","ha na kpọ"
"ịkpọ","kpọ","pres_cont","3s","ọ","ọ na kpọ"
"ịkpọ","kpọ","pres_perf","1p","anyị","kpọgo"
"ịkpọ","kpọ","pres_perf","1s","m","kpọgo"
"ịkpọ","kpọ","pres_perf","2p","unu","kpọgo"
"ịkpọ","kpọ","pres_perf","2s","ị","kpọgo"
"ịkpọ","kpọ","pres_perf","3p","ha","kpọgo"
"ịkpọ","kpọ","pres_perf","3s","ọ","kpọgo"
"ịkpọ","kpọ","present","1p","anyị","anyị kpọ"
"ịkpọ","kpọ","present","1s","m","m kpọ"
"ịkpọ","kpọ","present","2p","unu","unu kpọ"
"ịkpọ","kpọ","present","2s","ị","ị kpọ"
"ịkpọ","kpọ","present","3p","ha","ha kpọ"
"ịkpọ","kpọ","present","3s","ọ","ọ kpọ"
"ịrụ","rụ","future","1p","anyị","anyị ga rụ"
"ịrụ","rụ","future","1s","m","m ga rụ"
"ịrụ","rụ","future","2p","unu","unu ga rụ"
"ịrụ","rụ","future","2s","ị","ị ga rụ"
"ịrụ","rụ","future","3p","ha","ha ga rụ"
"ịrụ","rụ","future","3s","ọ","ọ ga rụ"
"ịrụ","rụ","past","1p","anyị","rụrụ"
"ịrụ","rụ","past","1s","m","rụrụ"
"ịrụ","rụ","past","2p","unu","rụrụ"
"ịrụ","rụ","past","2s","ị","rụrụ"
"ịrụ","rụ","past","3p","ha","rụrụ"
"ịrụ","rụ","past","3s","ọ","rụrụ"
"ịrụ","rụ","past_perf","1p","anyị","rụbugo"
"ịrụ","rụ","past_perf","1s","m","rụbugo"
"ịrụ","rụ","past_perf","2p","unu","rụbugo"
"ịrụ","rụ","past_perf","2s","ị","rụbugo"
"ịrụ","rụ","past_perf","3p","ha","rụbugo"
"ịrụ","rụ","past_perf","3s","ọ","rụbugo"
"ịrụ","rụ","pres_cont","1p","anyị","anyị na rụ"
"ịrụ","rụ","pres_cont","1s","m","m na rụ"
"ịrụ","rụ","pres_cont","2p","unu","unu na rụ"
"ịrụ","rụ","pres_cont","2s","ị","ị na rụ"
"ịrụ","rụ","pres_cont","3p","ha","ha na rụ"
"ịrụ","rụ","pres_cont","3s","ọ","ọ na rụ"
"ịrụ","rụ","pres_perf","1p","anyị","rụgo"
"ịrụ","rụ","pres_perf","1s","m","rụgo"
"ịrụ","rụ","pres_perf","2p","unu","rụgo"
"ịrụ","rụ","pres_perf","2s","ị","rụgo"
"ịrụ","rụ","pres_perf","3p","ha","rụgo"
"ịrụ","rụ","pres_perf","3s","ọ","rụgo"
"ịrụ","rụ","present","1p","anyị","anyị rụ"
"ịrụ","rụ","present","1s","m","m rụ"
"ịrụ","rụ","present","2p","unu","unu rụ"
"ịrụ","rụ","present","2s","ị","ị rụ"
"ịrụ","rụ","present","3p","ha","ha rụ"
"ịrụ","rụ","present","3s","ọ","ọ rụ"
"ịta","ta","future","1p","anyị","anyị ga ta"
"ịta","ta","future","1s","m","m ga ta"
"ịta","ta","future","2p","unu","unu ga ta"
"ịta","ta","future","2s","ị","ị ga ta"
"ịta","ta","future","3p","ha","ha ga ta"
"ịta","ta","future","3s","ọ","ọ ga ta"
"ịta","ta","past","1p","anyị","tara"
"ịta","ta","past","1s","m","tara"
"ịta","ta","past","2p","unu","tara"
"ịta","ta","past","2s","ị","tara"
"ịta","ta","past","3p","ha","tara"
"ịta","ta","past","3s","ọ","tara"
"ịta","ta","past_perf","1p","anyị","tabugo"
"ịta","ta","past_perf","1s","m","tabugo"
"ịta","ta","past_perf","2p","unu","tabugo"
"ịta","ta","past_perf","2s","ị","tabugo"
"ịta","ta","past_perf","3p","ha","tabugo"
"ịta","ta","past_perf","3s","ọ","tabugo"
"ịta","ta","pres_cont","1p","anyị","anyị na ta"
"ịta","ta","pres_cont","1s","m","m na ta"
"ịta","ta","pres_cont","2p","unu","unu na ta"
"ịta","ta","pres_cont","2s","ị","ị na ta"
"ịta","ta","pres_cont","3p","ha","ha na ta"
"ịta","ta","pres_cont","3s","ọ","ọ na ta"
"ịta","ta","pres_perf","1p","anyị","tago"
"ịta","ta","pres_perf","1s","m","tago"
"ịta","ta","pres_perf","2p","unu","tago"
"ịta","ta","pres_perf","2s","ị","tago"
"ịta","ta","pres_perf","3p","ha","tago"
"ịta","ta","pres_perf","3s","ọ","tago"
"ịta","ta","present","1p","anyị","anyị ta"
"ịta","ta","present","1s","m","m ta"
"ịta","ta","present","2p","unu","unu ta"
"ịta","ta","present","2s","ị","ị ta"
"ịta","ta","present","3p","ha","ha ta"
"ịta","ta","present","3s","ọ","ọ ta"
